Proposed Name,Current or Former Name,GNIS Feature ID [NEW],Feature Type,State,County,Fed'l Land Mgmt Agency,Review List,Decision Date,CaseStatus,Primary (Mouth) DD Lat,Primary (Mouth) DD Long,Source DD Lat,Source DD Long,USGS Topo Map,Proposed Name,Current or Former Name,GNIS Feature ID [NEW],Feature Type,State,County,Fed'l Land Mgmt Agency,Review List,Decision Date,CaseStatus,Primary (Mouth) DD Lat,Primary (Mouth) DD Long,Source DD Lat,Source DD Long,USGS Topo Map,Proposed Name.1,Current or Former Name.1,GNIS Feature ID [NEW].1,Feature Type.1,State.1,County.1,Fed'l Land Mgmt Agency.1,Review List.1,Decision Date.1,CaseStatus.1,Primary (Mouth) DD Lat.1,Primary (Mouth) DD Long.1,Source DD Lat.1,Source DD Long.1,USGS Topo Map.1
Paa nena-d Reservoir,Squaw Creek Reservoir,1127488.0,reservoir,OR,Malheur,BLM,412.0,,review listed,43.7198091,-117.7326128,,,Avery Creek,Paa nena-d Reservoir,Squaw Creek Reservoir,1127488.0,reservoir,OR,Malheur,BLM,412.0,,review listed,43.7198091,-117.7326128,,,Avery Creek,Paa nena-d Reservoir,Squaw Creek Reservoir,1127488.0,reservoir,OR,Malheur,BLM,412.0,,review listed,43.7198091,-117.7326128,,,Avery Creek
Ka Kwi-Tuhu-u Creek,Squaw Creek,1150231.0,stream,OR,"Grant, Harney",FS,410.0,,review listed,44.0065433,-118.7002142,44.08,-118.6477778,Magpie Table,Ka Kwi-Tuhu-u Creek,Squaw Creek,1150231.0,stream,OR,"Grant, Harney",FS,410.0,,review listed,44.0065433,-118.7002142,44.08,-118.6477778,Magpie Table,Ka Kwi-Tuhu-u Creek,Squaw Creek,1150231.0,stream,OR,"Grant, Harney",FS,410.0,,review listed,44.0065433,-118.7002142,44.08,-118.6477778,Magpie Table
Trail Creek,Squaw Creek,1150256.0,stream,OR,"Grant, Umatilla",FS,412.0,,review listed,44.9951362,-118.5449545,45.0106899,-118.522176,Silver Butte,Trail Creek,Squaw Creek,1150256.0,stream,OR,"Grant, Umatilla",FS,412.0,,review listed,44.995136200000005,-118.54495449999999,45.010689899999996,-118.522176,Silver Butte,Trail Creek,Squaw Creek,1150256.0,stream,OR,"Grant, Umatilla",FS,412.0,,review listed,44.99513620000001,-118.5449545,45.0106899,-118.522176,Silver Butte
Paa-ne-na Reservoir,Squaw Flat Reservoir Number Two,1157359.0,reservoir,OR,Malheur,BLM,412.0,,review listed,42.5360287,-117.2389967,,,Three Forks,Paa-ne-na Reservoir,Squaw Flat Reservoir Number Two,1157359.0,reservoir,OR,Malheur,BLM,412.0,,review listed,42.5360287,-117.2389967,,,Three Forks,Paa-ne-na Reservoir,Squaw Flat Reservoir Number Two,1157359.0,reservoir,OR,Malheur,BLM,412.0,,review listed,42.5360287,-117.2389967,,,Three Forks
Blink Creek,,,stream,OR,Lane,FS,432.0,,review listed,43.641028,-122.215663,43.628604,-122.225233,Mount David Douglas,Blink Creek,,,stream,OR,Lane,FS,432.0,,review listed,43.641028000000006,-122.21566299999999,43.628603999999996,-122.225233,Mount David Douglas,Blink Creek,,,stream,OR,Lane,FS,432.0,,review listed,43.64102800000001,-122.215663,43.628604,-122.225233,Mount David Douglas
South Harney Lake Hot Spring,,,spring,OR,Harney,FWS,433.0,,review listed,43.18101,-119.057483,,,Southeast Harney Lake,South Harney Lake Hot Spring,,,spring,OR,Harney,FWS,433.0,,review listed,43.18101,-119.057483,,,Southeast Harney Lake,South Harney Lake Hot Spring,,,spring,OR,Harney,FWS,433.0,,review listed,43.18101,-119.057483,,,Southeast Harney Lake
Paa-ba Tehaga Creek,Squaw Creek,375234.0,stream,"OR, ID","Malheur, Owyhee",BLM,412.0,,review listed,42.5621527,-117.0489407,42.4501621,-116.878462,"Brewster Reservoir, Fairylawn, Bedstead Ridge",Paa-ba Tehaga Creek,Squaw Creek,375234.0,stream,"OR, ID","Malheur, Owyhee",BLM,412.0,,review listed,42.5621527,-117.04894070000002,42.45016210000001,-116.87846200000001,"Brewster Reservoir, Fairylawn, Bedstead Ridge",Paa-ba Tehaga Creek,Squaw Creek,375234.0,stream,"OR, ID","Malheur, Owyhee",BLM,412.0,,review listed,42.5621527,-117.04894070000002,42.45016210000001,-116.878462,"Brewster Reservoir, Fairylawn, Bedstead Ridge"
Namaa-Tsa pi punni,Squaw Creek Vee,395987.0,area,"OR, ID","Malheur, Owyhee",BLM,412.0,,review listed,42.559111,-117.032522,42.5632127,-116.9987467,Brewster Reservoir,Namaa-Tsa pi punni,Squaw Creek Vee,395987.0,area,"OR, ID","Malheur, Owyhee",BLM,412.0,,review listed,42.559111,-117.032522,42.5632127,-116.9987467,Brewster Reservoir,Namaa-Tsa pi punni,Squaw Creek Vee,395987.0,area,"OR, ID","Malheur, Owyhee",BLM,412.0,,review listed,42.559111,-117.032522,42.5632127,-116.9987467,Brewster Reservoir
Lenape Lake,Price Pond,1184478.0,lake,PA,Wayne,,433.0,,review listed,41.7955217,-75.184706,,,Long Eddy,Lenape Lake,Price Pond,1184478.0,lake,PA,Wayne,,433.0,,review listed,41.7955217,-75.184706,,,Long Eddy,Lenape Lake,Price Pond,1184478.0,lake,PA,Wayne,,433.0,,review listed,41.7955217,-75.184706,,,Long Eddy
Reservoir Run,Sambo Creek,1186890.0,stream,PA,Monroe,,397.0,,review listed,41.005,-75.1911111,41.0852777,-75.1602777,East Stroudsburg,Reservoir Run,Sambo Creek,1186890.0,stream,PA,Monroe,,397.0,,review listed,41.005,-75.19111109999999,41.0852777,-75.1602777,East Stroudsburg,Reservoir Run,Sambo Creek,1186890.0,stream,PA,Monroe,,397.0,,review listed,41.005,-75.19111109999999,41.0852777,-75.1602777,East Stroudsburg
Turtle Island,Sambo Island,1186891.0,island,PA,Monroe,NPS,397.0,,review listed,41.0863059,-74.9709177,,,Flatbrookville,Turtle Island,Sambo Island,1186891.0,island,PA,Monroe,NPS,397.0,,review listed,41.0863059,-74.9709177,,,Flatbrookville,Turtle Island,Sambo Island,1186891.0,island,PA,Monroe,NPS,397.0,,review listed,41.0863059,-74.9709177,,,Flatbrookville
Reservoir Run Lower Reservoir,Sambo Creek Lower Reservoir,1195216.0,reservoir,PA,Monroe,,397.0,,review listed,41.0430125,-75.1823616,,,East Stroudsburg,Reservoir Run Lower Reservoir,Sambo Creek Lower Reservoir,1195216.0,reservoir,PA,Monroe,,397.0,,review listed,41.0430125,-75.1823616,,,East Stroudsburg,Reservoir Run Lower Reservoir,Sambo Creek Lower Reservoir,1195216.0,reservoir,PA,Monroe,,397.0,,review listed,41.0430125,-75.1823616,,,East Stroudsburg
New Texas Barrens,,,area,PA,Lancaster,,426.0,,review listed,39.7486111,-76.1794444,,,Conowingo Dam and Wakefield,New Texas Barrens,,,area,PA,Lancaster,,426.0,,review listed,39.748611100000005,-76.17944440000001,,,Conowingo Dam and Wakefield,New Texas Barrens,,,area,PA,Lancaster,,426.0,,review listed,39.74861110000001,-76.17944440000002,,,Conowingo Dam and Wakefield
Thoma Pond,,,lake,PA,Pike,NPS,431.0,,review listed,41.170186,-74.915399,,,Lake Maskenozha,Thoma Pond,,,lake,PA,Pike,NPS,431.0,,review listed,41.170186,-74.915399,,,Lake Maskenozha,Thoma Pond,,,lake,PA,Pike,NPS,431.0,,review listed,41.170186,-74.915399,,,Lake Maskenozha
Ruffs Run,,,stream,PA,Schuylkill,,433.0,,review listed,40.665997,-76.113385,40.677422,-76.130959,"Orwigsburg, Pottsville",Ruffs Run,,,stream,PA,Schuylkill,,433.0,,review listed,40.665997,-76.113385,40.677422,-76.13095899999999,"Orwigsburg, Pottsville",Ruffs Run,,,stream,PA,Schuylkill,,433.0,,review listed,40.665997,-76.113385,40.677422,-76.13095899999998,"Orwigsburg, Pottsville"
Brubaker Run,,,stream,PA,Delaware,,415.0,,review listed,39.84806,-75.55708,39.84725,-75.54929,Willimgton North,Brubaker Run,,,stream,PA,Delaware,,415.0,,review listed,39.84806,-75.55708,39.84725,-75.54929,Willimgton North,Brubaker Run,,,stream,PA,Delaware,,415.0,,review listed,39.84806,-75.55708,39.84725,-75.54929,Willimgton North
Rock Springs Barrens,,,area,"PA, MD","Lancaster, Cecil",,426.0,,review listed,39.7251053,-76.164238,,,Conowingo Dam,Rock Springs Barrens,,,area,"PA, MD","Lancaster, Cecil",,426.0,,review listed,39.725105299999996,-76.164238,,,Conowingo Dam,Rock Springs Barrens,,,area,"PA, MD","Lancaster, Cecil",,426.0,,review listed,39.7251053,-76.164238,,,Conowingo Dam
Riverwood Lake,,,reservoir,TN,Shelby,,433.0,,review listed,35.163177,-89.771935,,,Ellendale,Riverwood Lake,,,reservoir,TN,Shelby,,433.0,,review listed,35.163177000000005,-89.771935,,,Ellendale,Riverwood Lake,,,reservoir,TN,Shelby,,433.0,,review listed,35.163177000000005,-89.771935,,,Ellendale
Frost Flower Peak,,,summit,TN,Union,,433.0,,review listed,36.28306,-83.90221,,,White Hollow,Frost Flower Peak,,,summit,TN,Union,,433.0,,review listed,36.28306,-83.90221,,,White Hollow,Frost Flower Peak,,,summit,TN,Union,,433.0,,review listed,36.28306,-83.90221,,,White Hollow
Falcon Bayou,,,stream,TX,Bexar,,429.0,,review listed,29.56716,-98.36509,29.57997,-98.36333,Schertz,Falcon Bayou,,,stream,TX,Bexar,,429.0,,review listed,29.567159999999998,-98.36509000000001,29.57997,-98.36333,Schertz,Falcon Bayou,,,stream,TX,Bexar,,429.0,,review listed,29.56716,-98.36509,29.57997,-98.36333,Schertz
Preuss Lake,Pruess Lake,1455927.0,reservoir,UT,Millard,BLM,433.0,,review listed,38.884646,-114.0128633,,,"Garrison, Needle Point Spring",Preuss Lake,Pruess Lake,1455927.0,reservoir,UT,Millard,BLM,433.0,,review listed,38.884646000000004,-114.01286329999999,,,"Garrison, Needle Point Spring",Preuss Lake,Pruess Lake,1455927.0,reservoir,UT,Millard,BLM,433.0,,review listed,38.884646,-114.0128633,,,"Garrison, Needle Point Spring"
Carvalho Obelisks,,,pillar,UT,Wayne,NPS,432.0,,review listed,38.498761,-111.344435,,,Cathedral Mountain,Carvalho Obelisks,,,pillar,UT,Wayne,NPS,432.0,,review listed,38.498761,-111.344435,,,Cathedral Mountain,Carvalho Obelisks,,,pillar,UT,Wayne,NPS,432.0,,review listed,38.498761,-111.344435,,,Cathedral Mountain
Courage Creek,Negro Run,1471370.0,stream,VA,Fauquier,,433.0,,review listed,38.5781776,-77.5919325,38.547261,-77.566433,Somerville,Courage Creek,Negro Run,1471370.0,stream,VA,Fauquier,,433.0,,review listed,38.578177600000004,-77.5919325,38.547261,-77.56643299999999,Somerville,Courage Creek,Negro Run,1471370.0,stream,VA,Fauquier,,433.0,,review listed,38.5781776,-77.5919325,38.547261,-77.56643299999998,Somerville
Doggetts Pond,,,reservoir,VA,Powhatan,,433.0,,review listed,37.602309,-77.993466,,,Powhatan,Doggetts Pond,,,reservoir,VA,Powhatan,,433.0,,review listed,37.602309000000005,-77.993466,,,Powhatan,Doggetts Pond,,,reservoir,VA,Powhatan,,433.0,,review listed,37.60230900000001,-77.993466,,,Powhatan
Sugar Mountain,,,summit,VT,Orange,,429.0,,review listed,44.128832,-72.349537,,,Knox Mountain,Sugar Mountain,,,summit,VT,Orange,,429.0,,review listed,44.128832,-72.349537,,,Knox Mountain,Sugar Mountain,,,summit,VT,Orange,,429.0,,review listed,44.128832,-72.349537,,,Knox Mountain
Bleeding Heart Brook,,,stream,VT,Washington,,432.0,,review listed,44.319471,-72.753536,44.29291,-72.75936,Waterbury,Bleeding Heart Brook,,,stream,VT,Washington,,432.0,,review listed,44.319471,-72.753536,44.29291,-72.75936,Waterbury,Bleeding Heart Brook,,,stream,VT,Washington,,432.0,,review listed,44.319471,-72.753536,44.29291,-72.75936,Waterbury
Meeks Peak,,,summit,VT,Orleans,FWS,384.0,,review listed,44.7533333,-72.4236111,,,Lowell,Meeks Peak,,,summit,VT,Orleans,FWS,384.0,,review listed,44.7533333,-72.42361109999999,,,Lowell,Meeks Peak,,,summit,VT,Orleans,FWS,384.0,,review listed,44.7533333,-72.42361109999999,,,Lowell
Lake Elisabeth,Box Canyon Reservoir,1531955.0,reservoir,WA,Pend Oreille,"FS, USACE",405.0,,review listed,48.6813888,-117.3925,,,Ione,Lake Elisabeth,Box Canyon Reservoir,1531955.0,reservoir,WA,Pend Oreille,"FS, USACE",405.0,,review listed,48.6813888,-117.3925,,,Ione,Lake Elisabeth,Box Canyon Reservoir,1531955.0,reservoir,WA,Pend Oreille,"FS, USACE",405.0,,review listed,48.6813888,-117.3925,,,Ione
Howard Point,,,cape,WA,Thurston,NOAA,431.0,,review listed,47.055546,-122.8943,,,Tumwater,Howard Point,,,cape,WA,Thurston,NOAA,431.0,,review listed,47.055546,-122.8943,,,Tumwater,Howard Point,,,cape,WA,Thurston,NOAA,431.0,,review listed,47.055546,-122.8943,,,Tumwater
Pinecroft Peak,,,summit,WA,Spokane,,431.0,,review listed,47.683416,-117.229424,,,Greenacres,Pinecroft Peak,,,summit,WA,Spokane,,431.0,,review listed,47.683415999999994,-117.229424,,,Greenacres,Pinecroft Peak,,,summit,WA,Spokane,,431.0,,review listed,47.683416,-117.229424,,,Greenacres
Arturdee Creek,,,stream,WA,Spokane,,431.0,,review listed,47.66712,-117.10475,47.65336,-117.09033,Liberty Lake,Arturdee Creek,,,stream,WA,Spokane,,431.0,,review listed,47.667120000000004,-117.10475,47.65336,-117.09033000000001,Liberty Lake,Arturdee Creek,,,stream,WA,Spokane,,431.0,,review listed,47.66712,-117.10475,47.65336,-117.09033,Liberty Lake
Nason Bach,,,stream,WA,Chelan,,432.0,,review listed,47.769689,-120.808659,47.771448,-120.810397,Lake Wenatchee,Nason Bach,,,stream,WA,Chelan,,432.0,,review listed,47.769689,-120.808659,47.771448,-120.810397,Lake Wenatchee,Nason Bach,,,stream,WA,Chelan,,432.0,,review listed,47.769689,-120.808659,47.771448,-120.810397,Lake Wenatchee
Wald Bach,,,stream,WA,Chelan,,432.0,,review listed,47.769155,-120.808809,47.770799,-120.808423,Lake Wenatchee,Wald Bach,,,stream,WA,Chelan,,432.0,,review listed,47.769155,-120.80880900000001,47.770799,-120.808423,Lake Wenatchee,Wald Bach,,,stream,WA,Chelan,,432.0,,review listed,47.769155,-120.808809,47.770799,-120.808423,Lake Wenatchee
Stebbins Mountain,,,summit,WA,Lewis,FS,387.0,,review listed,46.6273369,-121.7828894,,,Wahpenayo Peak,Stebbins Mountain,,,summit,WA,Lewis,FS,387.0,,review listed,46.6273369,-121.7828894,,,Wahpenayo Peak,Stebbins Mountain,,,summit,WA,Lewis,FS,387.0,,review listed,46.6273369,-121.7828894,,,Wahpenayo Peak
Wheeler Wilcox Creek,Pine Spring Creek,2786895.0,stream,WI,Dane,,430.0,,review listed,43.20902,-89.35314,43.23647,-89.39206,"De Forest (mouth), Waunakee",Wheeler Wilcox Creek,Pine Spring Creek,2786895.0,stream,WI,Dane,,430.0,,review listed,43.20902,-89.35314,43.236470000000004,-89.39206,"De Forest (mouth), Waunakee",Wheeler Wilcox Creek,Pine Spring Creek,2786895.0,stream,WI,Dane,,430.0,,review listed,43.20902,-89.35314,43.23647,-89.39206,"De Forest (mouth), Waunakee"
Dragonfly Lake,,,lake,WI,Vilas,,427.0,,review listed,45.93561,-89.8642,,,Fence Lake,Dragonfly Lake,,,lake,WI,Vilas,,427.0,,review listed,45.93561,-89.8642,,,Fence Lake,Dragonfly Lake,,,lake,WI,Vilas,,427.0,,review listed,45.93561,-89.8642,,,Fence Lake
Buffalo Nations Valley,Hayden Valley,1589419.0,valley,WY,Park,NPS,430.0,,review listed,44.6790975,-110.4821253,44.6135527,-110.5879525,"Canyon Village, Lake, Crystal Falls, Beach Lake",Buffalo Nations Valley,Hayden Valley,1589419.0,valley,WY,Park,NPS,430.0,,review listed,44.6790975,-110.4821253,44.6135527,-110.58795249999999,"Canyon Village, Lake, Crystal Falls, Beach Lake",Buffalo Nations Valley,Hayden Valley,1589419.0,valley,WY,Park,NPS,430.0,,review listed,44.6790975,-110.4821253,44.6135527,-110.5879525,"Canyon Village, Lake, Crystal Falls, Beach Lake"
First Peoples Mountain,Mount Doane,1599277.0,summit,WY,Park,,430.0,,review listed,44.413304,-110.1471196,,,Sylvan Lake,First Peoples Mountain,Mount Doane,1599277.0,summit,WY,Park,,430.0,,review listed,44.413304,-110.1471196,,,Sylvan Lake,First Peoples Mountain,Mount Doane,1599277.0,summit,WY,Park,,430.0,,review listed,44.413304,-110.1471196,,,Sylvan Lake
